bar,datetime,requested_exposure,position_units,realized_exposure,sigma_ann,net_return,economic_equity,commission_paid_cum,close_reasons
540,2021-01-01 00:00:00,1.0,0.0,0.0,0.8035829558205739,0.0,10000.0,0.0,
541,2021-01-01 04:00:00,1.0,13.2635804623936,0.9908606905909142,0.80434671791466,-0.012949140657990021,9870.5085934201,29.15922459867086,entry_fill
542,2021-01-01 08:00:00,1.0,13.2635804623936,0.9908787081076461,0.8025841052231706,0.0019753250904128716,9890.006056699818,29.15922459867086,
543,2021-01-01 12:00:00,1.0,13.2635804623936,0.9908361858228766,0.8025874641745778,-0.004640238654737061,9844.114068299936,29.15922459867086,
544,2021-01-01 16:00:00,1.0,13.2635804623936,0.9907103954432337,0.8007663842074256,-0.013540983243612081,9710.81508465288,29.15922459867086,
545,2021-01-01 20:00:00,1.0,13.2635804623936,0.9907554727556577,0.8015835126914148,0.004876107910403826,9758.166066903625,29.15922459867086,
546,2021-01-02 00:00:00,1.0,13.2635804623936,0.9907740322533926,0.8016919830650898,0.0020116586405432013,9777.796165987967,29.15922459867086,
547,2021-01-02 04:00:00,1.0,13.2635804623936,0.9908328509276294,0.80158266524067,0.0064162449822131595,9840.53290157509,29.15922459867086,
548,2021-01-02 08:00:00,1.0,13.2635804623936,0.9907653887958486,0.8016590049088933,-0.007305357019299907,9768.644295468917,29.15922459867086,
549,2021-01-02 12:00:00,1.0,13.2635804623936,0.9912267433496015,0.7978311079841065,0.05258646499666031,10282.34276677742,29.15922459867086,
550,2021-01-02 16:00:00,1.0,13.2635804623936,0.991408062267865,0.8168253615904671,0.02110337899509318,10499.33494314218,29.15922459867086,
551,2021-01-02 20:00:00,1.0,13.2635804623936,0.9912955720246941,0.8190550144926007,-0.012923335512685208,10363.648515011893,29.15922459867086,
552,2021-01-03 00:00:00,1.0,13.2635804623936,0.9912711066764607,0.8205787958875702,-0.002802800690371421,10334.601273799251,29.15922459867086,
